date,category,ad,loc,floor,age,rooms,gross,price
05-10-2024,Daire,Menderes Mah. 3+1 120 M2 Doğalgazlı Lüks Eşyalı Kiralık Daire,İzmir / Buca / Menderes Mah.,3. Kat,25 Yaşında,3 + 1,110 m²,25.000
09-10-2024,Daire,Marka'Dan D.Gazlı Eşyasız Kiralık Daire,İzmir / Buca / Atatürk Mah.,Giriş Katı,4 Yaşında,1 + 1,55 m²,13.000
26-09-2024,Daire,Buca Kuruçeşme Mah Üniversite Yakını Doğalgazlı 2+1 Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,1. Kat,15 Yaşında,2 + 1,90 m²,15.000
08-10-2024,Daire,Bucada Kiralık Daire Eşyalı Eşyasız Verilir 135m² D.Gazlı Çift Asansörlü Harika Lokasyon Manzara,İzmir / Buca / Mustafa Kemal Mah.,3. Kat,19 Yaşında,3 + 1,155 m²,20.000
20-09-2024,Daire,Nezih Site İçi ''3+1'' Otoparklı - Çocuk Parklı Kiralık Daire,İzmir / Buca / Atatürk Mah.,8. Kat,11 Yaşında,3 + 1,120 m²,23.000
09-10-2024,Daire,İzmir Buca Günlük Kiralık 1+1 2+1 Daireler,İzmir / Buca / Adatepe Mah.,En Üst Kat,4 Yaşında,3 + 1,80 m²,400
28-09-2024,Daire,Oyak Buca Konutlarında Kiralık 3+1 Daire,İzmir / Buca / Aydoğdu Mah.,8. Kat,6 Yaşında,3 + 1,147 m²,45.000
01-10-2024,Daire,Buca Çamlıkule Mah. Site İçerisinde 3+1 Kiralık Daire,İzmir / Buca / Çamlıkule Mah.,5. Kat,6 Yaşında,3 + 1,140 m²,26.500
06-10-2024,Daire,"3 Oda 1salon-Doğalgazlı,Arakat 125 M2 Bakımlı Daire",İzmir / Buca / Efeler Mah.,Ara Kat,10 Yaşında,3 + 1,125 m²,24.000
30-09-2024,Daire,Buca Kadın Doğum Hastanesi Yanı Kiralık 2+1 Boş Daire,İzmir / Buca / Atatürk Mah.,2. Kat,13 Yaşında,2 + 1,85 m²,22.000
11-10-2024,Daire,"Parisa""Dan Yıldız Mah. Geniş Ferah Klimalı 1+1 Kiralık Daire",İzmir / Buca / Yıldız Mah.,3. Kat,16 Yaşında,1 + 1,65 m²,11.000
11-10-2024,Daire,Buca Kuruçeşmede 1+1 Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,Kot 2,6 Yaşında,1 + 1,65 m²,15.000
09-10-2024,Daire,Güneş'Ten Şirinyer İzban 5dk M 2+1 85m Balkon K.Mutfak A.Kat,İzmir / Buca / İnkılap Mah.,2. Kat,35 Yaşında,2 + 1,85 m²,12.500
10-10-2024,Daire,Atatürk Mh. K.Doğum Yakını '3+1' Full Eşya-Dgazlı Kiralık Daire,İzmir / Buca / Atatürk Mah.,En Üst Kat,16 Yaşında,3 + 1,140 m²,22.500
18-09-2024,Daire,Saygın Gayrimenkul'Den Buca Kozağaçta 1+1 Eşyalı Kiralık Daire,İzmir / Buca / Kozağaç Mah.,Yüksek Giriş,2 Yaşında,1 + 1,60 m²,15.500
04-10-2024,Daire,Kampüs Karşısı// Full Eşyalı Kiralık 1+1 55m2 Arakat Daireler,İzmir / Buca / Kuruçeşme Mah.,3. Kat,3 Yaşında,1 + 1,55 m²,21.000
27-09-2024,Daire,Buca İzban Yakını 2+1 Bahçeli Yüksek Giriş Kiralık Daire,İzmir / Buca / İnkılap Mah.,Yüksek Giriş,3 Yaşında,2 + 1,75 m²,20.000
17-09-2024,Daire,Buca Çevik 1'De Eşyalı 1+0 Kiralık Daire,İzmir / Buca / Kozağaç Mah.,Yüksek Giriş,10 Yaşında,1 + 1,40 m²,15.000
08-10-2024,Daire,Eşyalı-Doğalgazlı 2 Oda 1 Salon-Arakat Daire,İzmir / Buca / Kozağaç Mah.,Ara Kat,5 Yaşında,2 + 1,80 m²,18.000
05-10-2024,Daire,Buca Kozağaç Ta 2+1 Kiralık Daire,İzmir / Buca / Kozağaç Mah.,1. Kat,11 Yaşında,2 + 1,97 m²,20.000
26-09-2024,Daire,Buca'Nın Merkezinde Eşyalı 2+1 Doğalgazlı Kiralık Daire,İzmir / Buca / Yaylacık Mah.,Giriş Katı,8 Yaşında,2 + 1,70 m²,18.000
26-09-2024,Daire,Ref'Den İbf Yanı Doğalgazlı Teraslı Dubleks 2+1 Kiralık Daire,İzmir / Buca / Adatepe Mah.,3. Kat,Sıfır Bina,2 + 1,95 m²,22.000
25-09-2024,Daire,Nezih Site İçi ''2+1'' Full Eşyalı - Otoparklı Kiralık Daire,İzmir / Buca / Atatürk Mah.,3. Kat,11 Yaşında,2 + 1,110 m²,26.000
04-10-2024,Daire,"Buca Hürriyet Mah./Tünel Çıkışı,Uçanyolda//Site İçi//2.Kat 3+1 D",İzmir / Buca / Hürriyet Mah.,2. Kat,15 Yaşında,3 + 1,130 m²,30.000
20-09-2024,Daire,9 Eylül Kampüs Yakını Kiralık 1+0 Daire 11.000tl,İzmir / Buca / Atatürk Mah.,3. Kat,5 Yaşında,Stüdyo,45 m²,13.500
